Manx,English,Manx Original,Notes,Date,Source
Fer,"fellow,or any male individual",,"[(Rev Readcliffe, Liverpool) M.H., , 28/01/1885]",28/01/1885,Mona's Herald
foaysagh,beneficial,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
Fockleyr Manninagh,Manx Dictionary,,"[IoMT,02/05/1868]",02/05/1868,Isle of Man Times
,,,,,
fort,strength,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
Phil Beg ny Murlin,Little Phil (of) the fish basket,Fill Beg na Merlin,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Phil Beg ny Murlin,Little Phil (of) the fish basket,Fill Beg na -Murlin,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Phillee Beg ny Claghyn,"Little Philly / Philly Junior (of) the stones (or, colloquially;  testicles)",Filly beg na Claughin,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
fud-y-cheilley,confused,Fod e Kelley,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Frengagh (Frangagh),Frenchman [here used as a nickname for a wine dealer],,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
friggan.,prickle ,,"[Here found in: ‘Got up on their friggans’  [got annoyed / took offence][M.H.,12/011898]",12/01/1898,Mona's Herald
fud-y-cheilley,confused,Fudeykelley,"[M.S., 26/02/1881]",26/02/1881,The Manx Sun
,,,,,
Fuirree yn mwaagh rish e heshey !,The hare will wait for his mate (partner) !,,"[P.C.,09/03/1895]",09/03/1895,P.C.
,,,,,
,,,,,
George Hom Yack,"George, son of Tom, son of Jack",,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
gilley (guilley),boy,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
ginnal (gennal),cheerful,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Glasco,Glasgow,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Gob-ny-Claghyn,Promontory of the Stones,Gob-na-Claghyn,"[M.H.,31/12/1879]",31/12/1879,Mona's Herald
"Gow-jee tastey, ta’n trass lhaih Gailckagh dy ghoaill toshaight ayns Halley C. Myleworrey ec shaight er y chlagh syn astyr.","Take note, the third Manx reading to begin in C. Morrison’s Hall at seven o’clock in the evening.","Gow gee tastey, ta’n trass lhaih Gailckagh dy ghoaill toshaight ayns Halley C. Myleworrey ec shaight er y chlagh syn astyr.","[‘Peel Manks Reading’: M.H.,01/011874]",01/01/1874,Mona's Herald
,,,,,
grep,a dungfork,grape,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
Graih millish my chree,Sweet love of my heart,,"[Manxman,19/11/1898]",19/11/1898,Manxman
,,,,,
graih Yee bee shee ain eisht,For God’s sake will we have peace then?,graye yee bee shee ooin esh,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
grape,a dungfork,grep,"Juan-yn-Jagged Keir at the North: M.H.,11/10/1876; ",11/10/1876,Mona's Herald
,,,,,
cryss ny greg,a kind of reddish moss which grows plentifully on the rocks by the sea,criss ny greg,"M.S.,03/08/1889; ",03/08/1889,The Manx Sun
,,,,,
"“Dy gooidsave lhiat dy choyrt as dy reayll gys yn ymmyd ain messyn dooie y thallooin, (as dy chur er ash as dy hannaghtyn dooin bannaghtyn ny marrey), myr shen ayns nyn imbagh cooie dy vod mayd yn soylley oc y gheddyn,” ","“That it may please Thee to bless and preserve to our use the kindly fruits of the earth, (and to restore and continue unto us the blessings of the sea), so that in due time we may enjoy them,”",,"[‘Bishop Wilson's interpolation (still used every Sunday in most of the Manx churches)’] [M.S.,07/09/1889]",07/09/1889,The Manx Sun
graih veen,dear love – [‘dear me!’],greigh veghin –,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Haul! Ta’n laa brishey harrish y cronk.,Haul! The day breaks over the hill. ,Haul! Ta’n lhaa brishey harrish y cronk.,"(Called out to signal daybreak — time to haul in the nets). [M.H.,01/011896]",01/01/1896,Mona's Herald
"Hiarn, cur Pashance dou.","Lord, give me ‘patience’.",,"[Give me patience: IoME,25/02/1899]",25/02/1899,Isle of Man Examiner
,,,,,
Hie,Hi [greeting],,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Hig e chiarail marish; s’lioar da’n laa t’ayn e heaghyn hene.,"His plan will come together, his own sorrows are enough for today.","Hig e chiarail márish, slioar da’n laa t’ayn e heaghyn hene.","[M.H.,29/09/1852]",29/09/1852,Mona's Herald
Jee saue yn Ven rein,God save the Queen,,"[M.H.,08/011873]",08/01/1873,Mona's Herald
jeebin,"network, section of a net [Each jeebin was fifty-two meshes deep, and seventeen yards long. Sixteen of them formed a net, i.e., four in length and four in depth. The nets were made of flas or hemp, which was span at home during the long winter nights. The sixteen jeebins that formed the net were joined together in much the same fashion as canvas in a sail. If one jeebin got worn out, or failed, it was taken out and another put in its place. If the mesh shrank and became too small it was condemned. If an English shilling passed freely between knot and knot the mesh was considered sufficient.]",,"[M.H.,01/011896]",01/01/1896,Mona's Herald
Jem-y-Thie-veg,Jim (of) the Toilet,Jem-a-thie-veg,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
John y Paddag,John the Patch,John-e-Pathag,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
